name_last,name_first,party,votes
STRANG,Bernie,DLP,"[1039.0, 1041.0, 1044.0, 1049.0, 1050.0, 1057.0, 1059.0, 1064.0, 1087.0, 1100.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
HELMORE,Olivia,DLP,"[1478.0, 1482.0, 1486.0, 1487.0, 1489.0, 1490.0, 1494.0, 1513.0, 1542.0, 1564.0, 2067.0, 2108.0, 2155.0, 2187.0, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
NADIMPALLI,Krishna,LIB,"[1899.0, 1901.0, 1901.0, 1903.0, 1909.0, 1911.0, 1919.0, 1927.0, 1938.0, 1951.0, 1996.0, 2027.0, 2034.717948, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
MILLIGAN,James,LIB,"[3834.0, 3840.0, 3842.0, 3844.0, 3852.0, 3858.0, 3862.0, 3878.0, 3910.0, 3943.0, 3997.0, 4027.0, 4066.589743, 4418.5897429999995, 4639.5897429999995, 4904.5897429999995, 5006.5897429999995, 6380.666666, 6451.666666, 6721.666666, 6896.666666, 6965.666666, nan]"
VADAKKEDATHU,Jacob,LIB,"[2680.0, 2687.0, 2694.0, 2695.0, 2706.0, 2709.0, 2718.0, 2726.0, 2765.0, 2780.0, 2817.0, 2844.0, 2850.076923, 3628.435897, 3775.435897, 3934.435897, 4021.435897, nan, nan, nan, nan, nan, nan]"
CASTLEY,Leanne,LIB,"[4601.0, 4602.0, 4614.0, 4617.0, 4621.0, 4626.0, 4634.0, 4660.0, 4702.0, 4743.0, 4802.0, 4872.0, 4901.384615, 5244.743589, 5475.743589, 5729.743589, 5809.743589, 7179.1025629999995, 7356.1025629999995, 7600.1025629999995, 7749.1025629999995, 7824.1025629999995, 13086.102563]"
COE,Alistair,LIB,"[8685.0, 8691.0, 8700.0, 8705.0, 8705.0, 8708.0, 8712.0, 8730.0, 8786.0, 8826.0, 8878.0, 8924.0, 8910.0, 8910.0, 8910.0, 8910.0, 8910.0, 8910.0, 8910.0, 8910.0, 8910.0, 8910.0, 8910.0]"
BRADDOCK,Andrew,GREEN,"[3431.0, 3434.0, 3441.0, 3467.0, 3479.0, 3507.0, 3530.0, 3630.0, 3668.0, 3781.0, 3879.0, 4332.0, 4406.358974, 4518.358974, 4835.358974, 5215.358974, 7012.358974, 7239.358974, 7556.358974, 8125.358974, 9208.358973999999, 8910.0, 8910.0]"
HAQUE,Mainul,GREEN,"[2009.0, 2030.0, 2032.0, 2034.0, 2040.0, 2045.0, 2051.0, 2127.0, 2147.0, 2212.0, 2228.0, 2348.0, 2410.0, 2450.0, 2686.0, 2853.0, nan, nan, nan, nan, nan, nan, nan]"
KEARSLEY,John,SUST,"[331.0, 331.0, 333.0, 343.0, 358.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
YOUNG,Scott,SUST,"[363.0, 367.0, 380.0, 386.0, 397.0, 634.0, 654.0, 769.0, 809.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
WILLIAMS,Bethany,PROG,"[1128.0, 1130.0, 1144.0, 1152.0, 1319.0, 1340.0, 1380.0, 1427.0, 1457.0, 1616.0, 1634.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
STELZIG,Mike,PROG,"[318.0, 319.0, 323.0, 325.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
POLLARD,Stephanie,POL,"[319.0, 321.0, 334.0, 343.0, 368.0, 377.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
POLLARD,David,POL,"[1410.0, 1415.0, 1441.0, 1443.0, 1468.0, 1476.0, 1677.0, 1711.0, 1786.0, 1907.0, 1913.0, 2234.0, 2268.3589739999998, 2292.3589739999998, 2395.3589739999998, nan, nan, nan, nan, nan, nan, nan, nan]"
BRENNAN,Bernie,AJP,"[310.0, 312.0, 316.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
HORNE,Francine,AJP,"[391.0, 393.0, 400.0, 601.0, 605.0, 611.0, 617.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
GUPTA,Deepak-Raj,ALP,"[3763.0, 3768.0, 3773.0, 3782.0, 3784.0, 3788.0, 3794.0, 3810.0, 3860.0, 3877.0, 3929.0, 3993.0, 4308.7179479999995, 4535.7179479999995, 4651.7179479999995, 4807.7179479999995, 5000.7179479999995, 5466.7179479999995, 6187.7179479999995, nan, nan, nan, nan]"
FISCHER,Tom,ALP,"[1796.0, 1798.0, 1803.0, 1805.0, 1813.0, 1814.0, 1825.0, 1835.0, 1884.0, 1907.0, 1929.0, 1983.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
ORR,Suzanne,ALP,"[4344.0, 4349.0, 4360.0, 4363.0, 4367.0, 4370.0, 4374.0, 4398.0, 4456.0, 4469.0, 4499.0, 4599.0, 4971.0, 5005.0, 5240.0, 5436.0, 5576.0, 5710.0, 7535.0, 9784.0, 8910.0, 8910.0, 8910.0]"
PHILLIPS,Georgia,ALP,"[3273.0, 3278.0, 3286.0, 3291.0, 3296.0, 3298.0, 3304.0, 3323.0, 3376.0, 3401.0, 3428.0, 3513.0, 3948.358974, 3966.358974, 4192.358974, 4342.358974, 4440.358974, 4515.358974, nan, nan, nan, nan, nan]"
PETTERSSON,Michael,ALP,"[5086.0, 5091.0, 5101.0, 5109.0, 5113.0, 5118.0, 5124.0, 5148.0, 5219.0, 5249.0, 5311.0, 5389.0, 5939.435897, 5968.435897, 6162.435897, 6366.435897, 6526.435897, 6654.435897, 7834.435897, 9996.435897, 8910.0, 8910.0, 8910.0]"
CROSS,Helen,UNG,"[199.0, 212.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
LI,Fuxin,UNG,"[656.0, 664.0, 707.0, 709.0, 711.0, 712.0, 719.0, 748.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
HUSSAIN,Mohammad Munir,UNG,"[116.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
exhausted,,,"[0.0, 3.0, 4.0, 6.0, 9.0, 10.0, 12.0, 35.0, 67.0, 133.0, 152.0, 266.0, 289.0, 334.0, 495.0, 959.358974, 1155.358974, 1403.358974, 1627.717948, 2320.717948, 2321.435896, 2321.435896, 4020.435896]"
